City 1,City 2,Heuristic
Asansol,Bhopal,1374
Bangalore,Bhopal,1148
Baroda,Bhopal,570
Bhubaneshwar,Bhopal,1162
Bombay,Bhopal,778
Calcutta,Bhopal,1495
Calicut,Bhopal,1668
Chandigarh,Bhopal,988
Cochin,Bhopal,1660
Coimbatore,Bhopal,1481
Delhi,Bhopal,742
Gwalior,Bhopal,688
Hubli,Bhopal,1251
Hyderabad,Bhopal,808
Imphal,Bhopal,2550
Indore,Bhopal,191
Jabalpur,Bhopal,609
Jaipur,Bhopal,596
Jamshedpur,Bhopal,1452
Jullundur,Bhopal,1117
Kanpur,Bhopal,585
Kolhapur,Bhopal,1061
Lucknow,Bhopal,664
Ludhiana,Bhopal,1052
Madras,Bhopal,1479
Madurai,Bhopal,1580
Meerut,Bhopal,808
Nagpur,Bhopal,352
Nasik,Bhopal,605
Panjim,Bhopal,1143
Patna,Bhopal,1016
Pondicherry,Bhopal,1476
Pune,Bhopal,814
Ranchi,Bhopal,1308
Shillong,Bhopal,2035
Shimla,Bhopal,1087
Surat,Bhopal,786
Trivandrum,Bhopal,1844
Varanasi,Bhopal,900
Vijayawada,Bhopal,1077
Vishakapatnam,Bhopal,1262
Agartala,Bhubaneshwar,2286
Agra,Bhubaneshwar,1573
Ahmedabad,Bhubaneshwar,1647
Allahabad,Bhubaneshwar,1090
Amritsar,Bhubaneshwar,2158
Asansol,Bhubaneshwar,523
Bangalore,Bhubaneshwar,1412
Baroda,Bhubaneshwar,1604
Bhopal,Bhubaneshwar,1162
Bombay,Bhubaneshwar,1679
Calcutta,Bhubaneshwar,423
Calicut,Bhubaneshwar,1922
Chandigarh,Bhubaneshwar,1944
Cochin,Bhubaneshwar,1828
Coimbatore,Bhubaneshwar,1633
Delhi,Bhubaneshwar,1713
Gwalior,Bhubaneshwar,1486
Hubli,Bhubaneshwar,1530
Hyderabad,Bhubaneshwar,1044
Imphal,Bhubaneshwar,2139
Indore,Bhubaneshwar,1275
Jabalpur,Bhubaneshwar,1087
Jaipur,Bhubaneshwar,1680
Jamshedpur,Bhubaneshwar,422
Jullundur,Bhubaneshwar,2088
Kanpur,Bhubaneshwar,1283
Kolhapur,Bhubaneshwar,1622
Lucknow,Bhubaneshwar,1254
Ludhiana,Bhubaneshwar,2023
Madras,Bhubaneshwar,1207
Madurai,Bhubaneshwar,1687
Meerut,Bhubaneshwar,1707
Nagpur,Bhubaneshwar,830
Nasik,Bhubaneshwar,1516
Panjim,Bhubaneshwar,1397
Patna,Bhubaneshwar,862
Pondicherry,Bhubaneshwar,1373
Pune,Bhubaneshwar,1587
Ranchi,Bhubaneshwar,560
Shillong,Bhubaneshwar,1640
Shimla,Bhubaneshwar,1913
Surat,Bhubaneshwar,1579
Trivandrum,Bhubaneshwar,1953
Varanasi,Bhubaneshwar,968
Vijayawada,Bhubaneshwar,775
Vishakapatnam,Bhubaneshwar,445
Agartala,Bombay,3421
Agra,Bombay,1180
Ahmedabad,Bombay,552
Allahabad,Bombay,1352
Amritsar,Bombay,1700
Asansol,Bombay,1784
Bangalore,Bombay,910
Baroda,Bombay,433
Bhopal,Bombay,778
Bhubaneshwar,Bombay,1679
Calcutta,Bombay,1558
Calicut,Bombay,1160
Chandigarh,Bombay,1501
Cochin,Bombay,1360
Coimbatore,Bombay,1189
Delhi,Bombay,1257
Gwalior,Bombay,1085
Hubli,Bombay,614
Hyderabad,Bombay,729
Imphal,Bombay,3275
Indore,Bombay,589
Jabalpur,Bombay,1106
Jaipur,Bombay,994
Jamshedpur,Bombay,1777
Jullundur,Bombay,1632
Kanpur,Bombay,1278
Kolhapur,Bombay,426
Lucknow,Bombay,1357
Ludhiana,Bombay,1564
Madras,Bombay,1241
Madurai,Bombay,1342
Meerut,Bombay,1321
Nagpur,Bombay,849
Nasik,Bombay,197
Panjim,Bombay,584
Patna,Bombay,1754
Pondicherry,Bombay,1238
Pune,Bombay,184
Ranchi,Bombay,1807
Shillong,Bombay,2038
Shimla,Bombay,1600
Surat,Bombay,301
Trivandrum,Bombay,1376
Varanasi,Bombay,1514
Vijayawada,Bombay,973
Vishakapatnam,Bombay,1328
Agartala,Calcutta,1863
Agra,Calcutta,1300
Ahmedabad,Calcutta,1493
Allahabad,Calcutta,817
Amritsar,Calcutta,1885
Asansol,Calcutta,226
Bangalore,Calcutta,1414
Baroda,Calcutta,1612
Bhopal,Calcutta,1495
Bhubaneshwar,Calcutta,423
Bombay,Calcutta,1558
Calicut,Calcutta,1550
Chandigarh,Calcutta,1671
Cochin,Calcutta,1772
Coimbatore,Calcutta,1586
Delhi,Calcutta,1440
Gwalior,Calcutta,1224
Hubli,Calcutta,1164
Hyderabad,Calcutta,1467
Imphal,Calcutta,1717
Indore,Calcutta,1608
Jabalpur,Calcutta,1167
Jaipur,Calcutta,1527
Jamshedpur,Calcutta,268
Jullundur,Calcutta,1815
Kanpur,Calcutta,1010
Kolhapur,Calcutta,1228
Lucknow,Calcutta,981
Ludhiana,Calcutta,1750
Madras,Calcutta,1160
Madurai,Calcutta,1640
Meerut,Calcutta,1434
Nagpur,Calcutta,1163
Nasik,Calcutta,1675
Panjim,Calcutta,974
Patna,Calcutta,621
Pondicherry,Calcutta,1328
Pune,Calcutta,1475
Ranchi,Calcutta,414
Shillong,Calcutta,1281
Shimla,Calcutta,1640
Surat,Calcutta,1756
Trivandrum,Calcutta,1766
Varanasi,Calcutta,695
Vijayawada,Calcutta,1198
Vishakapatnam,Calcutta,868
Agartala,Calicut,3413
Agra,Calicut,2056
Ahmedabad,Calicut,1648
Allahabad,Calicut,1643
Amritsar,Calicut,2426
Asansol,Calicut,1776
Bangalore,Calicut,520
Baroda,Calicut,1529
Bhopal,Calicut,1668
Bhubaneshwar,Calicut,1922
Bombay,Calicut,1160
Calcutta,Calicut,1550
Chandigarh,Calicut,2187
Cochin,Calicut,222
Coimbatore,Calicut,417
Delhi,Calicut,2089
Gwalior,Calicut,2042
Hubli,Calicut,766
Hyderabad,Calicut,910
Imphal,Calicut,3267
Indore,Calicut,1607
Jabalpur,Calicut,1643
Jaipur,Calicut,1826
Jamshedpur,Calicut,1818
Jullundur,Calicut,2341
Kanpur,Calicut,1836
Kolhapur,Calicut,830
Lucknow,Calicut,1877
Ludhiana,Calicut,2292
Madras,Calicut,715
Madurai,Calicut,548
Meerut,Calicut,2153
Nagpur,Calicut,1386
Nasik,Calicut,1193
Panjim,Calicut,576
Patna,Calicut,2045
Pondicherry,Calicut,566
Pune,Calicut,984
Ranchi,Calicut,1964
Shillong,Calicut,2219
Shimla,Calicut,2286
Surat,Calicut,1396
Trivandrum,Calicut,440
Varanasi,Calicut,2099
Vijayawada,Calicut,1147
Vishakapatnam,Calicut,1477
Agartala,Chandigarh,2929
Agra,Chandigarh,448
Ahmedabad,Chandigarh,1155
Allahabad,Chandigarh,854
Amritsar,Chandigarh,239
Asansol,Chandigarh,1450
Bangalore,Chandigarh,1958
Baroda,Chandigarh,1181
Bhopal,Chandigarh,988
Bhubaneshwar,Chandigarh,1944
Bombay,Chandigarh,1501
Calcutta,Chandigarh,1671
Calicut,Chandigarh,2187
Cochin,Chandigarh,1965
